[0.010s][info][gc,init] CardTable entry size: 512
[0.010s][info][gc     ] Using G1
[0.020s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.020s][info][gc,init] CPUs: 12 total, 12 available
[0.020s][info][gc,init] Memory: 16190M
[0.020s][info][gc,init] Large Page Support: Disabled
[0.020s][info][gc,init] NUMA Support: Disabled
[0.020s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.020s][info][gc,init] Heap Region Size: 2M
[0.020s][info][gc,init] Heap Min Capacity: 2G
[0.020s][info][gc,init] Heap Initial Capacity: 2G
[0.020s][info][gc,init] Heap Max Capacity: 4G
[0.020s][info][gc,init] Pre-touch: Disabled
[0.020s][info][gc,init] Parallel Workers: 10
[0.020s][info][gc,init] Concurrent Workers: 3
[0.020s][info][gc,init] Concurrent Refinement Workers: 10
[0.020s][info][gc,init] Periodic GC: Disabled
[0.028s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000021661000000-0x0000021661c90000-0x0000021661c90000), size 13172736, SharedBaseAddress: 0x0000021661000000, ArchiveRelocationMode: 1.
[0.028s][info][gc,metaspace] Compressed class space mapped at: 0x0000021662000000-0x00000216a2000000, reserved size: 1073741824
[0.028s][info][gc,metaspace] Narrow klass base: 0x0000021661000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.497s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.499s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.503s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.503s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.503s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 3.5ms
[0.503s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.5ms
[0.503s][info][gc,phases   ] GC(0)   Other: 1.3ms
[0.503s][info][gc,heap     ] GC(0) Eden regions: 51->0(44)
[0.503s][info][gc,heap     ] GC(0) Survivor regions: 0->7(7)
[0.503s][info][gc,heap     ] GC(0) Old regions: 0->4
[0.503s][info][gc,heap     ] GC(0) Humongous regions: 1->0
[0.503s][info][gc,metaspace] GC(0) Metaspace: 1317K(1472K)->1317K(1472K) NonClass: 1220K(1280K)->1220K(1280K) Class: 97K(192K)->97K(192K)
[0.503s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 103M->21M(2048M) 5.948ms
[0.503s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.01s
