[0.014s][info][gc,init] CardTable entry size: 512
[0.014s][info][gc     ] Using G1
[0.024s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.024s][info][gc,init] CPUs: 12 total, 12 available
[0.024s][info][gc,init] Memory: 16190M
[0.024s][info][gc,init] Large Page Support: Disabled
[0.024s][info][gc,init] NUMA Support: Disabled
[0.024s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.024s][info][gc,init] Heap Region Size: 2M
[0.024s][info][gc,init] Heap Min Capacity: 2G
[0.024s][info][gc,init] Heap Initial Capacity: 2G
[0.024s][info][gc,init] Heap Max Capacity: 4G
[0.024s][info][gc,init] Pre-touch: Disabled
[0.024s][info][gc,init] Parallel Workers: 10
[0.024s][info][gc,init] Concurrent Workers: 3
[0.024s][info][gc,init] Concurrent Refinement Workers: 10
[0.024s][info][gc,init] Periodic GC: Disabled
[0.032s][info][gc,metaspace] CDS archive(s) mapped at: [0x000002a694000000-0x000002a694c90000-0x000002a694c90000), size 13172736, SharedBaseAddress: 0x000002a694000000, ArchiveRelocationMode: 1.
[0.032s][info][gc,metaspace] Compressed class space mapped at: 0x000002a695000000-0x000002a6d5000000, reserved size: 1073741824
[0.032s][info][gc,metaspace] Narrow klass base: 0x000002a694000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.552s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.553s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.558s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.558s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.558s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 4.5ms
[0.558s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.558s][info][gc,phases   ] GC(0)   Other: 0.9ms
[0.558s][info][gc,heap     ] GC(0) Eden regions: 51->0(44)
[0.558s][info][gc,heap     ] GC(0) Survivor regions: 0->7(7)
[0.558s][info][gc,heap     ] GC(0) Old regions: 0->4
[0.558s][info][gc,heap     ] GC(0) Humongous regions: 1->0
[0.558s][info][gc,metaspace] GC(0) Metaspace: 1316K(1472K)->1316K(1472K) NonClass: 1219K(1280K)->1219K(1280K) Class: 97K(192K)->97K(192K)
[0.558s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 104M->21M(2048M) 6.544ms
[0.558s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.01s
[0.726s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.726s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.731s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.732s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.732s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.3ms
[0.732s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.5ms
[0.732s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.732s][info][gc,heap     ] GC(1) Eden regions: 44->0(44)
[0.732s][info][gc,heap     ] GC(1) Survivor regions: 7->7(7)
[0.732s][info][gc,heap     ] GC(1) Old regions: 4->13
[0.732s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.732s][info][gc,metaspace] GC(1) Metaspace: 1319K(1472K)->1319K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
[0.732s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 109M->38M(2048M) 5.515ms
[0.732s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.00s
